"","x"
"429","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"430","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"431","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"432","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"433","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"434","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"435","Man says he witnessed CNN host Don Lemon's alleged assault: 'I was kind of making fun, I feel bad now' | Fox News

#himtoo  https://t.co/NIPl7jnAmV"
"436","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"437","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"438","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"439","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"440","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"441","@MeTooMVMT How come I don't see a story on Don Lemon sexually assaulting a gay men? #believevictims #himtoo"
"442","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"443","CNN's Don Lemon accused of assault in sexually charged encounter at New York bar. #LemonDrop #HimToo 

https://t.co/w9KzHVjBdu"
"444","CNN's Don Lemon accused of assault in sexually charged encounter at New York bar. #LemonDrop #HimToo 

https://t.co/w9KzHVjBdu"
"445","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"446","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"447","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"448","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"449","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"450","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"451","@marklevinshow #HimToo"
"452","@marklevinshow He offered a six figure settlement. He must be guilty. I am with the bartender, he must be believed!  #HimToo #lemonaded"
"453","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"454","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"455","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"456","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"457","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"458","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"459","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"460","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"461","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"462","Believing survivors doesnâ€™t end with women. This is a huge yikes and ought to be getting the same press as female victims of male abusers.

#MeToo #HimToo https://t.co/yqK4TaCg1k"
"463","My! For someone who says white men are a menace to society, #DonLemon can't seem to stay away from them. #Hypocrite #MeToo #HimToo #AMJoy #BlackTwitter #BLM #BuzzFeed #CNN #DailyBeast #Democrat #Family #HuffPost #LGBTQ  #MSNBC #MAGA #NowThis #NPR #Salon #TeenVogue #TheRoot #TYT https://t.co/0Uf5NbVVun"
"464","Man says he witnessed CNN host Don Lemon's alleged assault: 'I was kind of making fun, I feel bad now' | Fox News #himtooğŸ•µğŸ¼â€â™‚ï¸ https://t.co/uo8BbyajRQ"
"465","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"466","#HimToo https://t.co/bEETm8QV6M"
"467","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"468","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"469","She found out that she ruined a man's life for something he didn't do and she still says he's a sexual predator even though she got the wrong guy, disgusting! I hope she likes defamation laws in japan #IStandWithVic #HimToo https://t.co/vLTyiUSJdD"
"470","She found out that she ruined a man's life for something he didn't do and she still says he's a sexual predator even though she got the wrong guy, disgusting! I hope she likes defamation laws in japan #IStandWithVic #HimToo https://t.co/vLTyiUSJdD"
"471","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"472","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"473","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"474","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"475","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"476","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"477","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"478","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"479","A near #falseallegation? I wonder if she had a specific person in mind she was targeting? Sounds like the cops did right by determining she was full of it, and finding no grounds for a collateral #MeToo accusation, which feminazis are fond of.  #HimToo

https://t.co/Xo6Qg2Cm8k"
"480","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"481","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"482","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"483","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"484","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"485","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"486","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"487","@ERMAGARN No #HIMTOO ?"
"488","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"489","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"490","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"491","She found out that she ruined a man's life for something he didn't do and she still says he's a sexual predator even though she got the wrong guy, disgusting! I hope she likes defamation laws in japan #IStandWithVic #HimToo https://t.co/vLTyiUSJdD"
"492","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"493","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"494","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"495","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"496","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"497","@DonLemon @CNN @CNNBRK,

Any comments on this?

#himtoo?

@SuffolkCounty filing:
https://t.co/Zv58CNvEXE

@bigleaguepol's article on civil suit against Don Lemon
https://t.co/ivmvihD1Sq

@DRUDGE_REPORT
@FoxNewsOpinion"
"498","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"499","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"500","@Sinatra_Says @PrisonPlanet If true this is a bad week for the Left..... Fredo Cuomo...... Don Lemon #HimToo .... and now the Icing on the cake Carlos Maza #YourFired"
"501","@donlemon please keep your stinky fingers to yourself. #MeToo #HimToo https://t.co/IuIqVpiAVq"
"502","@Sinatra_Says @PrisonPlanet If true this is a bad week for the Left..... Fredo Cuomo...... Don Lemon #HimToo .... and now the Icing on the cake Carlos Maza #YourFired"
"503","Lets go boys its our turn #himtoo #mentoo https://t.co/UPYMoziyAu"
"504","â€œAll men are created equalâ€ â€” wrote Thomas Jefferson when he wasnâ€™t raping his slave. #HimToo"
"505","Listen to the latest from @NoFurtherQ as they talk about R.Kelly, Harvey Weinstein, the history of the #MeToo &amp; #HimToo movement.

https://t.co/ADzqKWv5rq

#podcasts #podcast #podcasting #radio #spotify #podcasters #podcastinglife #podsincolor #podernfamily #podecho #podernfamily https://t.co/oYj1nN1QTc"
"506","××¢×•×“×“×ª ×›×œ #himtoo ×–×” ×—×©×•×‘. https://t.co/YCEidSBokb"
"507","@dannymasterson #womenlieformoney #believethefacts #himtoo"
"508","××¢×•×“×“×ª ×›×œ #himtoo ×–×” ×—×©×•×‘. https://t.co/YCEidSBokb"
"509","â€œAll men are created equalâ€ â€” wrote Thomas Jefferson when he wasnâ€™t raping his slave. #HimToo"
"510","Listen to the latest from @NoFurtherQ as they talk about R.Kelly, Harvey Weinstein, the history of the #MeToo &amp; #HimToo movement.

https://t.co/ADzqKWv5rq

#podcasts #podcast #podcasting #radio #spotify #podcasters #podcastinglife #podsincolor #podernfamily #podecho #podernfamily https://t.co/oYj1nN1QTc"
"511","â€œAll men are created equalâ€ â€” wrote Thomas Jefferson when he wasnâ€™t raping his slave. #HimToo"
"512","#HimToo https://t.co/dRXvqKpDs6"
"513","33. Just to scathe the surface, here are a few examples of other visitors at Epsteins island 

#PedophileSatanisHawkins #HimToo
#ObamaAndMichael
#Billary https://t.co/uT3FOkDbUX"
"514","â€œAll men are created equalâ€ â€” wrote Thomas Jefferson when he wasnâ€™t raping his slave. #HimToo"
"515","â€œAll men are created equalâ€ â€” wrote Thomas Jefferson when he wasnâ€™t raping his slave. #HimToo"
"516","@TimRunsHisMouth #HimToo"
"517","â€œAll men are created equalâ€ â€” wrote Thomas Jefferson when he wasnâ€™t raping his slave. #HimToo"
"518","â€œAll men are created equalâ€ â€” wrote Thomas Jefferson when he wasnâ€™t raping his slave. #HimToo"
"519","â€œAll men are created equalâ€ â€” wrote Thomas Jefferson when he wasnâ€™t raping his slave. #HimToo"
"520","Let's talk about #MeToo, #HimToo, and sexual harassment and assault.... - YouTube https://t.co/ktzRxsstsB"
"521","Thank you again, everyone. And remember, #WeStandWithVic. #HimToo"
"522","Q: WHY Academic #Masculism?

A: Because PREVENTION is better than CURE (or when it's TOO LATE)

(800 Page Amazon book - combined info, theories, facts found NOWHERE ELSE!)

Link: https://t.co/zmrjKxAUQg

#ThursdayThoughts #MenToo #HimToo #feminist #MensRightsAreHumanRights #MeToo https://t.co/FZbrXv5jMw"
"523","https://t.co/oU6qIYurN1
#menpoweringmen #himtoo #mensrights #notme #istandwithcuba #innocent #womenlie #standingwithcuba #hisrights"
"524","@stoolpresidente @AOC #HimToo"
"525","ğŸ¤£ Where is that pesky believe all victims bunch at now. Or was it just believe only women?  I mean this guy is actually taking Lemon to court, not just throwing an allegation out there. @Alyssa_Milano what about #HimToo https://t.co/4aQdfYWnnk"
"526","#himtoo  https://t.co/9ZYfxjmOb8"
"527","@lfwons_eka I miss manners like that. Iâ€™m old fashioned. Itâ€™s so sad I got used to guys being too scared due to #metoo. It should be called #HimToo  also."
"528","33. Just to scathe the surface, here are a few examples of other visitors at Epsteins island 

#PedophileSatanisHawkins #HimToo
#ObamaAndMichael
#Billary https://t.co/uT3FOkDbUX"
"529","West Bengal chief minister @MamataOfficial announced that she will build konasree college for woman only but no boys college. She wants all boys become rapist , criminal , jobless . Too much gender discrimination in bengal. #HimToo"
"530","33. Just to scathe the surface, here are a few examples of other visitors at Epsteins island 

#PedophileSatanisHawkins #HimToo
#ObamaAndMichael
#Billary https://t.co/uT3FOkDbUX"
"531","33. Just to scathe the surface, here are a few examples of other visitors at Epsteins island 

#PedophileSatanisHawkins #HimToo
#ObamaAndMichael
#Billary https://t.co/uT3FOkDbUX"
"532","33. Just to scathe the surface, here are a few examples of other visitors at Epsteins island 

#PedophileSatanisHawkins #HimToo
#ObamaAndMichael
#Billary https://t.co/uT3FOkDbUX"
"533","33. Just to scathe the surface, here are a few examples of other visitors at Epsteins island 

#PedophileSatanisHawkins #HimToo
#ObamaAndMichael
#Billary https://t.co/uT3FOkDbUX"
"534","33. Just to scathe the surface, here are a few examples of other visitors at Epsteins island 

#PedophileSatanisHawkins #HimToo
#ObamaAndMichael
#Billary https://t.co/uT3FOkDbUX"
"535","Why arenâ€™t more people talking about Katy Perryâ€™s sexual assault? Cause it was against a guy? I could never understand how anyone could like her sheâ€™s annoying as fuck lol #HimToo"
"536","33. Just to scathe the surface, here are a few examples of other visitors at Epsteins island 

#PedophileSatanisHawkins #HimToo
#ObamaAndMichael
#Billary https://t.co/uT3FOkDbUX"
"537","33. Just to scathe the surface, here are a few examples of other visitors at Epsteins island 

#PedophileSatanisHawkins #HimToo
#ObamaAndMichael
#Billary https://t.co/uT3FOkDbUX"
"538","33. Just to scathe the surface, here are a few examples of other visitors at Epsteins island 

#PedophileSatanisHawkins #HimToo
#ObamaAndMichael
#Billary https://t.co/uT3FOkDbUX"
"539","CNN's Don Lemon accused of assault in sexually charged encounter at New York bar. #LemonDrop #HimToo 

https://t.co/w9KzHVjBdu"
"540","@Erbears78 @lloyd4man @USATODAY #HimToo Lemon is a liar..  #Ibelievehim"
"541","#HimToo https://t.co/qnqJ0XOD5J"
"542","@ewarren @Tweetypot @JDScholten #himtoo #himTHROUGH"
"543","@WashTimes #HimToo  ğŸ˜„ğŸ˜„"
"544","@donlemon is getting a taste of his own medicine.  #HimToo"
"545","33. Just to scathe the surface, here are a few examples of other visitors at Epsteins island 

#PedophileSatanisHawkins #HimToo
#ObamaAndMichael
#Billary https://t.co/uT3FOkDbUX"
"546","These sickos think they're gods and kings, and can get away with anything. 

""Lemon then â€œshoved his index and middle fingers in Plaintiffâ€™s mustache and under Plaintiffâ€™s nose,â€™â€™ according to Hiceâ€™s suit, which was filed over the weekend.""
#HimToo

https://t.co/dYdmR7ENAR"
"547","#HimToo yes. It's true. https://t.co/ExBrNXojaq"
"548","@thehill #BelieveAllMen 

#HimToo"
"549","Thank you again, everyone. And remember, #WeStandWithVic. #HimToo"
"550","#HimToo hes one of them - ive met many of them and its gross https://t.co/aTB57mxNYw"
"551","#HimToo yes. It's true. https://t.co/ExBrNXojaq"
"552","@OrenIShiKiddo @dcassepoolman Wait? I thought don lemon was married..
His husband must have gotten tired of his abuse..
He's sexually assaulting men?
We must believe all men

#HimToo"
"553","#HimToo? @BillGates??? How? Why? 
#EpsteinSuicide
#SuicideShouldBeInQuotes 
  https://t.co/k8cbqiv2Zg"
"554","@marklevinshow LEFTS Rules for Accusations:
- ALL ARE TO BE BELIEVED
- GUILTY UNTIL PROVEN OTHERWISE 
- #HIMTOO 
- I'M THE VICTIM HERE
- THIS IS RACISM
- HE'S A TRUMP SUPPORTER 
- THIS IS FAKE NEWS
- WHEN ALL ELSE FAILS.... LIE LIKE HELL

How does it feel to be in the NEWS??ğŸ¤¨"
"555","@mmaggeler It is great...seeing a #domesticabuse #survivor such as #JohnnyDepp,  move forward and have his star continue to shine, despite the hell he was put through the past 5 years. As a journalist, you should know better and educate yourself. #himtoo #maledomesticviolence #amberisaliar"
"556","#HimToo @donlemon ğŸ˜†ğŸ¤£ğŸ˜†ğŸ¤£ğŸ˜† https://t.co/XadQatjrrY"
"557","@donlemon we have to BELIEVE the victims #metoo #himtoo lol ğŸ˜‚ https://t.co/F8jPgAk3nq"
"558","@JackPosobiec @ChatByCC Uh oh.... #himtoo"
"559","Think I joined the #NikkiHateTrain today because she put the mental visual of Rory being but fucker by a broom and spazzing on him for asking a question   #HimToo #JoeBuddenPodcastğŸ˜©ğŸ˜‚"
"560","@mmaggeler It is great...seeing a #domesticabuse #survivor such as #JohnnyDepp,  move forward and have his star continue to shine, despite the hell he was put through the past 5 years. As a journalist, you should know better and educate yourself. #himtoo #maledomesticviolence #amberisaliar"
"561","@donlemon So you don't like it when the tables are turned?? Funny how that works!  #HimToo https://t.co/XMGzMNLcML"
"562","@marklevinshow Iâ€™m not too surprised. I always thought he had that air about him.   I just pray that he didnâ€™t assault a minor. #himToo"
"563","CNN's Don Lemon accused of assault in sexually charged encounter at New York bar. #LemonDrop #HimToo 

https://t.co/w9KzHVjBdu"
"564","CNN's Don Lemon accused of assault in sexually charged encounter at New York bar. #LemonDrop #HimToo 

https://t.co/w9KzHVjBdu"
"565","CNN's Don Lemon accused of assault in sexually charged encounter at New York bar. #LemonDrop #HimToo 

https://t.co/w9KzHVjBdu"
"566","@katyperry @katyperry stop abusing men. #metoo #listentomen #believemen #himtoo."
"567","#HimToo We should believe @donlemon accuser. @CNN https://t.co/Fr4uRq3mgz"
"568","Unmasking ANTIFA: Feminist Identified Who Attacked #HimTOO Protester! https://t.co/wZf9mF0ZmD"
"569","@marklevinshow On tv seemed so Happy Charming and Clean with charismatic and feminine characteristics #himtoo #anotherone #ohnocuomo #notsoclean #hypocrite #shouldhaveonlytalkedabouygrapingtheprivets"
"570","@CStamper_ @CNN #HIMTOO"
"571","Gotdamn not Placido Domingo #HimToo"
"572","@JackPosobiec @steph93065 I believe the accuser!  #himtoo"
"573","@usatodayDC, did you miss the #himtoo story by @bigleaguepol on @donlemon?"
"574","@Reuters, did you miss the #himtoo story by @bigleaguepol on @donlemon?"
"575","@WSJ, did you miss the #himtoo story by @bigleaguepol on @donlemon?"
"576","@BBCBreaking, did you miss the #himtoo story by @bigleaguepol on @donlemon?"
"577","@Time, did you miss the #himtoo story by @bigleaguepol on @donlemon?"
"578","@bennyjohnson #HimToo

https://t.co/0FdlP60hB1"
"579","@DonLemon @CNN @CNNBRK,

Any comments on this?

#himtoo?

@SuffolkCounty filing:
https://t.co/Zv58CNvEXE

@bigleaguepol's article on civil suit against Don Lemon
https://t.co/ivmvihD1Sq

@DRUDGE_REPORT
@FoxNewsOpinion"
"580","CNN stands by anchor Chris Cuomo after NSFW exchange with a heckler who called him 'Fredo' https://t.co/DdZFvROKHy via @usatoday
ğŸ‘‰ğŸ¼@POTUS why is CNN standing behind @donlemon who is accused of sexual assault? Remember how holier than thou they were about Kevin Spacy? @CNN #HimToo"
"581","CNN's Don Lemon accused of assault in sexually charged encounter at New York bar. #LemonDrop #HimToo 

https://t.co/w9KzHVjBdu"
"582","#HimToo I can relate to the story going on about Katy Perry, when I was 18 (before I was trans) and at a party, some girl put her hands down my pants to see my boxers. I laughed it off at the time but it really isn't okay"
"583","CNN's Don Lemon accused of assault in sexually charged encounter at New York bar. #LemonDrop #HimToo 

https://t.co/w9KzHVjBdu"
"584","Dapo of ArabiağŸ‘³ğŸ½â€â™‚ï¸
.
#blackwomenwearwigs #whitewomenwearbraids #thisisnotculturalappropriation #hisheadwashot #hiswholeselfishot ğŸ˜#hedidnotconsent #himtoo ğŸ˜‚ Ã  Carr Taylor Vineyards https://t.co/xchN8i05xL"
"585","Dapo of ArabiağŸ‘³ğŸ½â€â™‚ï¸
.
#blackwomenwearwigs #whitewomenwearbraids #thisisnotculturalappropriation #hisheadwashot #hiswholeselfishot ğŸ˜#hedidnotconsent #himtoo ğŸ˜‚ Ã  Carr Taylor Vineyards https://t.co/xchN8i05xL"
